#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
  83000      1.88e+00    1.84e+00      1.39e-03    2.64e-03      7.70e-02    7.11e-02      5.37e-03    8.07e-03    5.6e-04
  84000      1.99e+00    1.97e+00      3.51e-04    4.63e-04      8.21e-02    8.05e-02      5.39e-03    6.66e-03    5.6e-04
  85000      2.24e+00    1.75e+00      2.24e-03    1.87e-03      8.78e-02    6.84e-02      1.21e-02    9.26e-03    5.4e-04
  86000      2.35e+00    2.05e+00      1.57e-03    1.59e-03      9.05e-02    8.41e-02      1.49e-02    7.51e-03    5.4e-04
  87000      2.13e+00    1.97e+00      9.10e-04    2.66e-04      8.13e-02    7.40e-02      1.44e-02    1.41e-02    5.4e-04
  88000      1.85e+00    2.23e+00      5.51e-04    3.67e-04      6.78e-02    8.76e-02      1.44e-02    1.33e-02    5.4e-04
  89000      1.90e+00    1.86e+00      3.97e-03    3.62e-03      7.33e-02    7.15e-02      4.52e-03    6.45e-03    5.4e-04
  90000      2.08e+00    2.37e+00      1.07e-03    8.44e-04      7.85e-02    7.98e-02      1.56e-02    2.28e-02    5.2e-04
  91000      1.98e+00    1.91e+00      1.10e-03    8.54e-04      8.53e-02    8.01e-02      3.68e-03    7.51e-03    5.2e-04
  92000      1.79e+00    1.77e+00      3.36e-04    1.41e-03      6.77e-02    6.93e-02      1.35e-02    1.13e-02    5.2e-04
  93000      1.82e+00    1.86e+00      5.40e-05    1.27e-03      7.64e-02    7.88e-02      7.72e-03    5.36e-03    5.2e-04
  94000      1.90e+00    2.03e+00      1.04e-03    2.35e-03      7.69e-02    8.19e-02      1.05e-02    9.34e-03    5.2e-04
  95000      1.95e+00    2.13e+00      3.01e-03    2.29e-03      7.59e-02    8.28e-02      1.14e-02    1.42e-02    5.1e-04
  96000      1.90e+00    1.88e+00      1.44e-04    5.19e-04      7.71e-02    8.10e-02      1.19e-02    6.84e-03    5.1e-04
  97000      1.97e+00    1.83e+00      1.44e-03    2.18e-03      8.42e-02    7.44e-02      6.91e-03    9.25e-03    5.1e-04
  98000      1.92e+00    1.83e+00      8.81e-04    9.02e-04      8.05e-02    7.89e-02      9.66e-03    6.19e-03    5.1e-04
  99000      1.83e+00    1.90e+00      1.90e-03    1.26e-03      7.72e-02    7.80e-02      6.47e-03    1.07e-02    5.1e-04
 100000      1.99e+00    1.78e+00      4.28e-03    2.92e-03      7.23e-02    6.98e-02      1.28e-02    1.03e-02    4.9e-04
 101000      2.00e+00    1.78e+00      1.20e-03    2.53e-03      8.49e-02    7.34e-02      1.04e-02    7.92e-03    4.9e-04
 102000      1.95e+00    1.52e+00      4.12e-03    2.36e-03      7.75e-02    6.16e-02      6.58e-03    7.54e-03    4.9e-04
 103000      1.85e+00    2.06e+00      6.06e-04    1.56e-03      7.66e-02    8.68e-02      1.16e-02    1.08e-02    4.9e-04
 104000      1.73e+00    1.90e+00      2.39e-03    2.33e-03      7.05e-02    8.17e-02      9.14e-03    5.29e-03    4.9e-04
